gene,degree,entropy
G1009,6.0,2.5849624
G657,6.0,2.5849626
G550,6.0,2.5849624
G109,6.0,2.5849624
G997,6.0,2.5849624
G1477,5.0,2.321928
G1122,5.0,2.321928
G975,5.0,2.321928
G1343,5.0,2.321928
G1283,5.0,2.321928
G334,5.0,2.321928
G337,5.0,2.321928
G970,5.0,2.321928
G230,5.0,2.321928
G746,5.0,2.321928
G1394,5.0,2.321928
G350,5.0,2.321928
G1455,5.0,2.321928
G416,5.0,2.321928
G1145,5.0,2.321928
G1292,5.0,2.321928
G511,5.0,2.321928
G1350,5.0,2.321928
G1248,5.0,2.321928
G1043,5.0,2.321928
G1041,5.0,2.321928
G888,5.0,2.321928
G845,5.0,2.321928
G556,5.0,2.321928
G898,5.0,2.321928
G32,5.0,2.321928
G620,5.0,2.321928
G1160,5.0,2.321928
G621,5.0,2.321928
G989,5.0,2.321928
G799,5.0,2.321928
G126,5.0,2.321928
G803,5.0,2.321928
G1555,5.0,2.321928
G779,5.0,2.321928
G276,5.0,2.321928
G808,5.0,2.321928
G1264,5.0,2.321928
G270,5.0,2.321928
G823,5.0,2.321928
G1208,5.0,2.321928
G1080,5.0,2.321928
G317,5.0,2.321928
G825,5.0,2.321928
G1078,5.0,2.321928
G1481,5.0,2.321928
G608,5.0,2.321928
G1499,5.0,2.321928
G294,5.0,2.321928
G1363,5.0,2.321928
G392,5.0,2.321928
G99,5.0,2.321928
G3,5.0,2.321928
G1324,5.0,2.321928
G377,5.0,2.321928
G1315,5.0,2.321928
G482,5.0,2.321928
G1642,5.0,2.321928
G1517,5.0,2.321928
G1135,5.0,2.321928
G506,5.0,2.321928
G179,5.0,2.321928
G684,5.0,2.321928
G676,5.0,2.321928
G688,5.0,2.321928
G406,5.0,2.321928
G1010,5.0,2.321928
G1222,5.0,2.321928
G932,5.0,2.321928
G658,5.0,2.321928
G455,5.0,2.321928
G1640,5.0,2.321928
G390,5.0,2.321928
G165,5.0,2.321928
G901,5.0,2.321928
G706,5.0,2.321928
G903,5.0,2.321928
G1188,5.0,2.321928
G1397,5.0,2.321928
G907,5.0,2.321928
G664,5.0,2.321928
G554,5.0,2.321928
G694,5.0,2.321928
G771,4.0,2.0
G315,4.0,2.0
G1641,4.0,2.0
G1617,4.0,2.0
G1458,4.0,2.0
G645,4.0,2.0
G1415,4.0,2.0
G303,4.0,2.0
G1465,4.0,2.0
G431,4.0,2.0
G660,4.0,2.0
G1273,4.0,2.0
G1320,4.0,2.0
G302,4.0,2.0
G1104,4.0,2.0
G1150,4.0,2.0
G1149,4.0,2.0
G777,4.0,2.0
G308,4.0,2.0
G1275,4.0,2.0
G507,4.0,2.0
G310,4.0,2.0
G1619,4.0,2.0
G329,4.0,2.0
G1639,4.0,2.0
G646,4.0,2.0
G1121,4.0,2.0
G1634,4.0,2.0
G523,4.0,2.0
G1442,4.0,2.0
G1631,4.0,2.0
G1304,4.0,2.0
G1125,4.0,2.0
G724,4.0,2.0
G1285,4.0,2.0
G371,4.0,2.0
G722,4.0,2.0
G16,4.0,2.0
G415,4.0,2.0
G504,4.0,2.0
G1633,4.0,2.0
G1298,4.0,2.0
G1148,4.0,2.0
G1446,4.0,2.0
G1430,4.0,2.0
G679,4.0,2.0
G630,4.0,2.0
G323,4.0,2.0
G1621,4.0,2.0
G325,4.0,2.0
G1112,4.0,2.0
G712,4.0,2.0
G754,4.0,2.0
G1114,4.0,2.0
G1325,4.0,2.0
G631,4.0,2.0
G648,4.0,2.0
G410,4.0,2.0
G1327,4.0,2.0
G1450,4.0,2.0
G991,4.0,2.0
G1118,4.0,2.0
G733,4.0,2.0
G1537,4.0,2.0
G1383,4.0,2.0
G1407,4.0,2.0
G910,4.0,2.0
G186,4.0,2.0
G1241,4.0,2.0
G1352,4.0,2.0
G1187,4.0,2.0
G895,4.0,2.0
G201,4.0,2.0
G404,4.0,2.0
G85,4.0,2.0
G1583,4.0,2.0
G577,4.0,2.0
G212,4.0,2.0
G878,4.0,2.0
G217,4.0,2.0
G79,4.0,2.0
G790,4.0,2.0
G864,4.0,2.0
G860,4.0,2.0
G1181,4.0,2.0
G859,4.0,2.0
G1239,4.0,2.0
G1510,4.0,2.0
G1490,4.0,2.0
G1229,4.0,2.0
G960,4.0,2.0
G1561,4.0,2.0
G476,4.0,2.0
G956,4.0,2.0
G1402,4.0,2.0
G948,4.0,2.0
G1226,4.0,2.0
G944,4.0,2.0
G943,4.0,2.0
G101,4.0,2.0
G1033,4.0,2.0
G573,4.0,2.0
G1019,4.0,2.0
G1358,4.0,2.0
G1570,4.0,2.0
G1516,4.0,2.0
G1514,4.0,2.0
G480,4.0,2.0
G481,4.0,2.0
G1237,4.0,2.0
G72,4.0,2.0
G1556,4.0,2.0
G834,4.0,2.0
G818,4.0,2.0
G1072,4.0,2.0
G231,4.0,2.0
G833,4.0,2.0
G1392,4.0,2.0
G509,4.0,2.0
G1478,4.0,2.0
G1476,4.0,2.0
G264,4.0,2.0
G820,4.0,2.0
G1081,4.0,2.0
G248,4.0,2.0
G1473,4.0,2.0
G1223,4.0,2.0
G1004,4.0,2.0
G806,4.0,2.0
G1370,4.0,2.0
G1089,4.0,2.0
G794,4.0,2.0
G1159,4.0,2.0
G618,4.0,2.0
G1482,4.0,2.0
G811,4.0,2.0
G848,4.0,2.0
G539,4.0,2.0
G1399,4.0,2.0
G1368,4.0,2.0
G1485,4.0,2.0
G854,4.0,2.0
G599,4.0,2.0
G857,4.0,2.0
G603,4.0,2.0
G542,3.0,1.5849626
G594,3.0,1.5849626
G522,3.0,1.5849626
G613,3.0,1.5849626
G555,3.0,1.5849626
G636,3.0,1.5849626
G1328,3.0,1.5849626
G611,3.0,1.5849626
G544,3.0,1.5849626
G521,3.0,1.5849626
G549,3.0,1.5849626
G1373,3.0,1.5849626
G1351,3.0,1.5849626
G610,3.0,1.5849626
G1371,3.0,1.5849626
G607,3.0,1.5849626
G642,3.0,1.5849626
G651,3.0,1.5849626
G1349,3.0,1.5849626
G588,3.0,1.5849626
G563,3.0,1.5849626
G516,3.0,1.5849626
G1354,3.0,1.5849626
G565,3.0,1.5849626
G546,3.0,1.5849626
G1379,3.0,1.5849626
G1353,3.0,1.5849626
G514,3.0,1.5849626
G512,3.0,1.5849626
G822,3.0,1.5849626
G663,3.0,1.5849626
G667,3.0,1.5849626
G1190,3.0,1.5849626
G1029,3.0,1.5849626
G1194,3.0,1.5849626
G1196,3.0,1.5849626
G1008,3.0,1.5849626
G1007,3.0,1.5849626
G1199,3.0,1.5849626
G1201,3.0,1.5849626
G996,3.0,1.5849626
G992,3.0,1.5849626
G982,3.0,1.5849626
G977,3.0,1.5849626
G1218,3.0,1.5849626
G971,3.0,1.5849626
G1219,3.0,1.5849626
G1220,3.0,1.5849626
G1225,3.0,1.5849626
G957,3.0,1.5849626
G950,3.0,1.5849626
G946,3.0,1.5849626
G931,3.0,1.5849626
G1232,3.0,1.5849626
G919,3.0,1.5849626
G1034,3.0,1.5849626
G1036,3.0,1.5849626
G1047,3.0,1.5849626
G1158,3.0,1.5849626
G1140,3.0,1.5849626
G1134,3.0,1.5849626
G1133,3.0,1.5849626
G1132,3.0,1.5849626
G1131,3.0,1.5849626
G1117,3.0,1.5849626
G1111,3.0,1.5849626
G1108,3.0,1.5849626
G1151,3.0,1.5849626
G1155,3.0,1.5849626
G1096,3.0,1.5849626
G1048,3.0,1.5849626
G1165,3.0,1.5849626
G1076,3.0,1.5849626
G1168,3.0,1.5849626
G1170,3.0,1.5849626
G1070,3.0,1.5849626
G1171,3.0,1.5849626
G1066,3.0,1.5849626
G1062,3.0,1.5849626
G1061,3.0,1.5849626
G1182,3.0,1.5849626
G914,3.0,1.5849626
G911,3.0,1.5849626
G902,3.0,1.5849626
G732,3.0,1.5849626
G772,3.0,1.5849626
G770,3.0,1.5849626
G768,3.0,1.5849626
G1276,3.0,1.5849626
G1282,3.0,1.5849626
G750,3.0,1.5849626
G1284,3.0,1.5849626
G748,3.0,1.5849626
G743,3.0,1.5849626
G736,3.0,1.5849626
G731,3.0,1.5849626
G782,3.0,1.5849626
G730,3.0,1.5849626
G1295,3.0,1.5849626
G707,3.0,1.5849626
G1301,3.0,1.5849626
G702,3.0,1.5849626
G699,3.0,1.5849626
G1307,3.0,1.5849626
G695,3.0,1.5849626
G685,3.0,1.5849626
G677,3.0,1.5849626
G1274,3.0,1.5849626
G785,3.0,1.5849626
G899,3.0,1.5849626
G856,3.0,1.5849626
G897,3.0,1.5849626
G893,3.0,1.5849626
G882,3.0,1.5849626
G1249,3.0,1.5849626
G873,3.0,1.5849626
G872,3.0,1.5849626
G866,3.0,1.5849626
G863,3.0,1.5849626
G861,3.0,1.5849626
G858,3.0,1.5849626
G855,3.0,1.5849626
G1272,3.0,1.5849626
G849,3.0,1.5849626
G846,3.0,1.5849626
G836,3.0,1.5849626
G1261,3.0,1.5849626
G829,3.0,1.5849626
G816,3.0,1.5849626
G1266,3.0,1.5849626
G800,3.0,1.5849626
G795,3.0,1.5849626
G791,3.0,1.5849626
G832,3.0,1.5849626
G1360,3.0,1.5849626
G1479,3.0,1.5849626
G433,3.0,1.5849626
G432,3.0,1.5849626
G335,3.0,1.5849626
G336,3.0,1.5849626
G429,3.0,1.5849626
G1571,3.0,1.5849626
G1416,3.0,1.5849626
G425,3.0,1.5849626
G424,3.0,1.5849626
G1506,3.0,1.5849626
G1447,3.0,1.5849626
G423,3.0,1.5849626
G422,3.0,1.5849626
G420,3.0,1.5849626
G1566,3.0,1.5849626
G1507,3.0,1.5849626
G1453,3.0,1.5849626
G332,3.0,1.5849626
G184,3.0,1.5849626
G331,3.0,1.5849626
G320,3.0,1.5849626
G321,3.0,1.5849626
G206,3.0,1.5849626
G1497,3.0,1.5849626
G1498,3.0,1.5849626
G78,3.0,1.5849626
G441,3.0,1.5849626
G200,3.0,1.5849626
G439,3.0,1.5849626
G438,3.0,1.5849626
G196,3.0,1.5849626
G1414,3.0,1.5849626
G435,3.0,1.5849626
G91,3.0,1.5849626
G434,3.0,1.5849626
G418,3.0,1.5849626
G1564,3.0,1.5849626
G215,3.0,1.5849626
G169,3.0,1.5849626
G391,3.0,1.5849626
G136,3.0,1.5849626
G1538,3.0,1.5849626
G382,3.0,1.5849626
G1534,3.0,1.5849626
G1530,3.0,1.5849626
G150,3.0,1.5849626
G369,3.0,1.5849626
G372,3.0,1.5849626
G152,3.0,1.5849626
G1524,3.0,1.5849626
G376,3.0,1.5849626
G375,3.0,1.5849626
G1527,3.0,1.5849626
G156,3.0,1.5849626
G1544,3.0,1.5849626
G171,3.0,1.5849626
G1509,3.0,1.5849626
G503,3.0,1.5849626
G1563,3.0,1.5849626
G1511,3.0,1.5849626
G1441,3.0,1.5849626
G1513,3.0,1.5849626
G1439,3.0,1.5849626
G358,3.0,1.5849626
G403,3.0,1.5849626
G359,3.0,1.5849626
G122,3.0,1.5849626
G1551,3.0,1.5849626
G1549,3.0,1.5849626
G1548,3.0,1.5849626
G399,3.0,1.5849626
G1547,3.0,1.5849626
G1546,3.0,1.5849626
G210,3.0,1.5849626
G373,3.0,1.5849626
G290,3.0,1.5849626
G1605,3.0,1.5849626
G1401,3.0,1.5849626
G291,3.0,1.5849626
G467,3.0,1.5849626
G1469,3.0,1.5849626
G1607,3.0,1.5849626
G274,3.0,1.5849626
G288,3.0,1.5849626
G469,3.0,1.5849626
G286,3.0,1.5849626
G472,3.0,1.5849626
G473,3.0,1.5849626
G496,3.0,1.5849626
G1630,3.0,1.5849626
G1629,3.0,1.5849626
G1487,3.0,1.5849626
G475,3.0,1.5849626
G239,3.0,1.5849626
G1614,3.0,1.5849626
G483,3.0,1.5849626
G1626,3.0,1.5849626
G485,3.0,1.5849626
G492,3.0,1.5849626
G241,3.0,1.5849626
G242,3.0,1.5849626
G27,3.0,1.5849626
G245,3.0,1.5849626
G489,3.0,1.5849626
G464,3.0,1.5849626
G278,3.0,1.5849626
G1405,3.0,1.5849626
G256,3.0,1.5849626
G1390,3.0,1.5849626
G1484,3.0,1.5849626
G305,3.0,1.5849626
G271,3.0,1.5849626
G58,3.0,1.5849626
G1404,3.0,1.5849626
G266,3.0,1.5849626
G255,3.0,1.5849626
G63,3.0,1.5849626
G261,3.0,1.5849626
G224,3.0,1.5849626
G5,3.0,1.5849626
G1480,2.0,1.0
G923,2.0,1.0
G827,2.0,1.0
G841,2.0,1.0
G830,2.0,1.0
G942,2.0,1.0
G839,2.0,1.0
G831,2.0,1.0
G924,2.0,1.0
G1522,2.0,1.0
G941,2.0,1.0
G253,2.0,1.0
G252,2.0,1.0
G940,2.0,1.0
G927,2.0,1.0
G928,2.0,1.0
G1523,2.0,1.0
G929,2.0,1.0
G1518,2.0,1.0
G1520,2.0,1.0
G837,2.0,1.0
G164,2.0,1.0
G937,2.0,1.0
G936,2.0,1.0
G161,2.0,1.0
G162,2.0,1.0
G875,2.0,1.0
G913,2.0,1.0
G1258,2.0,1.0
G1234,2.0,1.0
G862,2.0,1.0
G195,2.0,1.0
G223,2.0,1.0
G1227,2.0,1.0
G198,2.0,1.0
G894,2.0,1.0
G222,2.0,1.0
G221,2.0,1.0
G1245,2.0,1.0
G220,2.0,1.0
G1255,2.0,1.0
G1496,2.0,1.0
G219,2.0,1.0
G1247,2.0,1.0
G216,2.0,1.0
G208,2.0,1.0
G880,2.0,1.0
G211,2.0,1.0
G213,2.0,1.0
G1501,2.0,1.0
G225,2.0,1.0
G227,2.0,1.0
G909,2.0,1.0
G844,2.0,1.0
G176,2.0,1.0
G917,2.0,1.0
G181,2.0,1.0
G240,2.0,1.0
G877,2.0,1.0
G238,2.0,1.0
G852,2.0,1.0
G187,2.0,1.0
G228,2.0,1.0
G188,2.0,1.0
G853,2.0,1.0
G236,2.0,1.0
G1242,2.0,1.0
G904,2.0,1.0
G1504,2.0,1.0
G1503,2.0,1.0
G234,2.0,1.0
G197,2.0,1.0
G1389,2.0,1.0
G153,2.0,1.0
G1157,2.0,1.0
G1608,2.0,1.0
G1095,2.0,1.0
G1093,2.0,1.0
G1161,2.0,1.0
G49,2.0,1.0
G1604,2.0,1.0
G1085,2.0,1.0
G1164,2.0,1.0
G1083,2.0,1.0
G55,2.0,1.0
G1599,2.0,1.0
G57,2.0,1.0
G1079,2.0,1.0
G1598,2.0,1.0
G1075,2.0,1.0
G1597,2.0,1.0
G62,2.0,1.0
G1595,2.0,1.0
G1172,2.0,1.0
G1173,2.0,1.0
G66,2.0,1.0
G1176,2.0,1.0
G1592,2.0,1.0
G1591,2.0,1.0
G1177,2.0,1.0
G1059,2.0,1.0
G1057,2.0,1.0
G1609,2.0,1.0
G1156,2.0,1.0
G953,2.0,1.0
G1610,2.0,1.0
G1139,2.0,1.0
G1138,2.0,1.0
G1137,2.0,1.0
G1638,2.0,1.0
G1637,2.0,1.0
G1636,2.0,1.0
G13,2.0,1.0
G15,2.0,1.0
G18,2.0,1.0
G1129,2.0,1.0
G1128,2.0,1.0
G1127,2.0,1.0
G19,2.0,1.0
G1124,2.0,1.0
G23,2.0,1.0
G1147,2.0,1.0
G1115,2.0,1.0
G1624,2.0,1.0
G1113,2.0,1.0
G1620,2.0,1.0
G1109,2.0,1.0
G35,2.0,1.0
G1616,2.0,1.0
G1615,2.0,1.0
G1613,2.0,1.0
G1152,2.0,1.0
G1611,2.0,1.0
G1056,2.0,1.0
G1589,2.0,1.0
G73,2.0,1.0
G1051,2.0,1.0
G1554,2.0,1.0
G1202,2.0,1.0
G117,2.0,1.0
G1204,2.0,1.0
G1205,2.0,1.0
G118,2.0,1.0
G1207,2.0,1.0
G1209,2.0,1.0
G985,2.0,1.0
G1212,2.0,1.0
G1545,2.0,1.0
G1214,2.0,1.0
G1215,2.0,1.0
G978,2.0,1.0
G976,2.0,1.0
G1543,2.0,1.0
G974,2.0,1.0
G135,2.0,1.0
G1539,2.0,1.0
G139,2.0,1.0
G967,2.0,1.0
G966,2.0,1.0
G141,2.0,1.0
G142,2.0,1.0
G961,2.0,1.0
G955,2.0,1.0
G954,2.0,1.0
G113,2.0,1.0
G1198,2.0,1.0
G1562,2.0,1.0
G1028,2.0,1.0
G1184,2.0,1.0
G1045,2.0,1.0
G80,2.0,1.0
G1042,2.0,1.0
G1580,2.0,1.0
G1579,2.0,1.0
G1577,2.0,1.0
G1035,2.0,1.0
G1574,2.0,1.0
G1573,2.0,1.0
G1030,2.0,1.0
G1572,2.0,1.0
G1027,2.0,1.0
G104,2.0,1.0
G1193,2.0,1.0
G1024,2.0,1.0
G1023,2.0,1.0
G1022,2.0,1.0
G1569,2.0,1.0
G1567,2.0,1.0
G1018,2.0,1.0
G1017,2.0,1.0
G1016,2.0,1.0
G1197,2.0,1.0
G1012,2.0,1.0
G1011,2.0,1.0
G984,2.0,1.0
G1262,2.0,1.0
G1143,2.0,1.0
G393,2.0,1.0
G564,2.0,1.0
G687,2.0,1.0
G686,2.0,1.0
G383,2.0,1.0
G1432,2.0,1.0
G1311,2.0,1.0
G1362,2.0,1.0
G569,2.0,1.0
G1361,2.0,1.0
G678,2.0,1.0
G1142,2.0,1.0
G662,2.0,1.0
G1426,2.0,1.0
G672,2.0,1.0
G397,2.0,1.0
G459,2.0,1.0
G670,2.0,1.0
G669,2.0,1.0
G2,2.0,1.0
G398,2.0,1.0
G1318,2.0,1.0
G665,2.0,1.0
G1309,2.0,1.0
G1308,2.0,1.0
G691,2.0,1.0
G692,2.0,1.0
G367,2.0,1.0
G715,2.0,1.0
G714,2.0,1.0
G713,2.0,1.0
G1396,2.0,1.0
G711,2.0,1.0
G597,2.0,1.0
G709,2.0,1.0
G552,2.0,1.0
G370,2.0,1.0
G1302,2.0,1.0
G471,2.0,1.0
G703,2.0,1.0
G557,2.0,1.0
G374,2.0,1.0
G1367,2.0,1.0
G378,2.0,1.0
G1435,2.0,1.0
G560,2.0,1.0
G380,2.0,1.0
G693,2.0,1.0
G400,2.0,1.0
G458,2.0,1.0
G365,2.0,1.0
G614,2.0,1.0
G427,2.0,1.0
G626,2.0,1.0
G625,2.0,1.0
G624,2.0,1.0
G1408,2.0,1.0
G430,2.0,1.0
G1335,2.0,1.0
G1336,2.0,1.0
G449,2.0,1.0
G616,2.0,1.0
G1413,2.0,1.0
G578,2.0,1.0
G1339,2.0,1.0
G591,2.0,1.0
G1340,2.0,1.0
G605,2.0,1.0
G593,2.0,1.0
G1412,2.0,1.0
G1410,2.0,1.0
G1347,2.0,1.0
G1346,2.0,1.0
G444,2.0,1.0
G587,2.0,1.0
G1330,2.0,1.0
G452,2.0,1.0
G633,2.0,1.0
G659,2.0,1.0
G1424,2.0,1.0
G656,2.0,1.0
G405,2.0,1.0
G1321,2.0,1.0
G407,2.0,1.0
G652,2.0,1.0
G457,2.0,1.0
G581,2.0,1.0
G1323,2.0,1.0
G456,2.0,1.0
G649,2.0,1.0
G411,2.0,1.0
G412,2.0,1.0
G454,2.0,1.0
G643,2.0,1.0
G641,2.0,1.0
G585,2.0,1.0
G640,2.0,1.0
G1326,2.0,1.0
G1417,2.0,1.0
G366,2.0,1.0
G474,2.0,1.0
G773,2.0,1.0
G765,2.0,1.0
G789,2.0,1.0
G788,2.0,1.0
G1271,2.0,1.0
G295,2.0,1.0
G297,2.0,1.0
G298,2.0,1.0
G524,2.0,1.0
G300,2.0,1.0
G780,2.0,1.0
G526,2.0,1.0
G527,2.0,1.0
G307,2.0,1.0
G1460,2.0,1.0
G311,2.0,1.0
G494,2.0,1.0
G774,2.0,1.0
G720,2.0,1.0
G312,2.0,1.0
G313,2.0,1.0
G1459,2.0,1.0
G1381,2.0,1.0
G769,2.0,1.0
G1380,2.0,1.0
G499,2.0,1.0
G792,2.0,1.0
G520,2.0,1.0
G515,2.0,1.0
G821,2.0,1.0
G819,2.0,1.0
G502,2.0,1.0
G817,2.0,1.0
G268,2.0,1.0
G269,2.0,1.0
G1472,2.0,1.0
G1265,2.0,1.0
G501,2.0,1.0
G810,2.0,1.0
G809,2.0,1.0
G285,2.0,1.0
G1471,2.0,1.0
G1267,2.0,1.0
G500,2.0,1.0
G517,2.0,1.0
G1269,2.0,1.0
G801,2.0,1.0
G283,2.0,1.0
G284,2.0,1.0
G798,2.0,1.0
G1385,2.0,1.0
G767,2.0,1.0
G598,2.0,1.0
G1457,2.0,1.0
G1393,2.0,1.0
G1449,2.0,1.0
G1448,2.0,1.0
G342,2.0,1.0
G763,2.0,1.0
G740,2.0,1.0
G739,2.0,1.0
G1444,2.0,1.0
G491,2.0,1.0
G349,2.0,1.0
G1443,2.0,1.0
G734,2.0,1.0
G330,2.0,1.0
G352,2.0,1.0
G487,2.0,1.0
G1440,2.0,1.0
G356,2.0,1.0
G484,2.0,1.0
G1372,2.0,1.0
G360,2.0,1.0
G1438,2.0,1.0
G362,2.0,1.0
G1294,2.0,1.0
G1452,2.0,1.0
G744,2.0,1.0
G1378,2.0,1.0
G538,2.0,1.0
G762,2.0,1.0
G759,2.0,1.0
G760,2.0,1.0
G1454,2.0,1.0
G533,2.0,1.0
G327,2.0,1.0
G1377,2.0,1.0
G1590,1.0,-0.0
G1593,1.0,-0.0
G1348,1.0,-0.0
G1612,1.0,-0.0
G1374,1.0,-0.0
G1596,1.0,-0.0
G1388,1.0,-0.0
G1163,1.0,-0.0
G1625,1.0,-0.0
G1178,1.0,-0.0
G1356,1.0,-0.0
G1627,1.0,-0.0
G1359,1.0,-0.0
G1179,1.0,-0.0
G1409,1.0,-0.0
G1355,1.0,-0.0
G1382,1.0,-0.0
G1366,1.0,-0.0
G1406,1.0,-0.0
G1606,1.0,-0.0
G1365,1.0,-0.0
G1376,1.0,-0.0
G1384,1.0,-0.0
G1632,1.0,-0.0
G1594,1.0,-0.0
G1623,1.0,-0.0
G1391,1.0,-0.0
G1622,1.0,-0.0
G1146,1.0,-0.0
G1162,1.0,-0.0
G1386,1.0,-0.0
G1403,1.0,-0.0
G1398,1.0,-0.0
G1167,1.0,-0.0
G1395,1.0,-0.0
G1475,1.0,-0.0
G1588,1.0,-0.0
G1526,1.0,-0.0
G1277,1.0,-0.0
G1244,1.0,-0.0
G1456,1.0,-0.0
G1280,1.0,-0.0
G1500,1.0,-0.0
G1243,1.0,-0.0
G1445,1.0,-0.0
G1287,1.0,-0.0
G1508,1.0,-0.0
G1290,1.0,-0.0
G1512,1.0,-0.0
G1515,1.0,-0.0
G1291,1.0,-0.0
G1293,1.0,-0.0
G1437,1.0,-0.0
G1436,1.0,-0.0
G1299,1.0,-0.0
G1228,1.0,-0.0
G1300,1.0,-0.0
G1246,1.0,-0.0
G1495,1.0,-0.0
G1494,1.0,-0.0
G1467,1.0,-0.0
G1474,1.0,-0.0
G1483,1.0,-0.0
G1260,1.0,-0.0
G1259,1.0,-0.0
G1268,1.0,-0.0
G1468,1.0,-0.0
G1257,1.0,-0.0
G1270,1.0,-0.0
G1488,1.0,-0.0
G1251,1.0,-0.0
G1489,1.0,-0.0
G1464,1.0,-0.0
G1256,1.0,-0.0
G1463,1.0,-0.0
G1462,1.0,-0.0
G1254,1.0,-0.0
G1253,1.0,-0.0
G1493,1.0,-0.0
G1525,1.0,-0.0
G1303,1.0,-0.0
G1183,1.0,-0.0
G1528,1.0,-0.0
G1422,1.0,-0.0
G1420,1.0,-0.0
G1419,1.0,-0.0
G1565,1.0,-0.0
G1329,1.0,-0.0
G1568,1.0,-0.0
G1331,1.0,-0.0
G1334,1.0,-0.0
G1191,1.0,-0.0
G1338,1.0,-0.0
G1576,1.0,-0.0
G1578,1.0,-0.0
G1186,1.0,-0.0
G1341,1.0,-0.0
G1582,1.0,-0.0
G1411,1.0,-0.0
G1185,1.0,-0.0
G1344,1.0,-0.0
G1584,1.0,-0.0
G1557,1.0,-0.0
G1200,1.0,-0.0
G1423,1.0,-0.0
G1431,1.0,-0.0
G1529,1.0,-0.0
G1434,1.0,-0.0
G1532,1.0,-0.0
G1224,1.0,-0.0
G1535,1.0,-0.0
G1433,1.0,-0.0
G1312,1.0,-0.0
G1313,1.0,-0.0
G1542,1.0,-0.0
G1553,1.0,-0.0
G1217,1.0,-0.0
G1427,1.0,-0.0
